date,PFIX_close
2024-06-17,39.6874
2024-06-18,38.5820
2024-06-20,39.6172
2024-06-21,39.6435
2024-06-24,39.2926
2024-06-25,39.0549
2024-06-26,40.8509
2024-06-27,40.6220
2024-06-28,42.1275
2024-07-01,44.8568
2024-07-02,44.1789
2024-07-03,43.2809
2024-07-05,42.6558
2024-07-08,42.6822
2024-07-09,43.1048
2024-07-10,42.8935
2024-07-11,41.2207
2024-07-12,40.6837
2024-07-15,42.1363
2024-07-16,40.8597
2024-07-17,40.7189
2024-07-18,41.1151
2024-07-19,42.3124
2024-07-22,42.8671
2024-07-23,42.7878
2024-07-24,43.8443
2024-07-25,43.2985
2024-07-26,42.7108
2024-07-29,42.0083
2024-07-30,41.3545
2024-07-31,39.9936
2024-08-01,38.7742
2024-08-02,35.8847
2024-08-05,35.7919
2024-08-06,38.0496
2024-08-07,38.9863
2024-08-08,39.6137
2024-08-09,38.3412
2024-08-12,37.9701
2024-08-13,37.7845
2024-08-14,36.9804
2024-08-15,37.3162
2024-08-16,37.0776
2024-08-19,35.8229
2024-08-20,35.7875
2024-08-21,35.8936
2024-08-22,36.9097
2024-08-23,36.2558
2024-08-26,36.2293
2024-08-27,36.6289
2024-08-28,36.7532
2024-08-29,37.1439
2024-08-30,37.6146
2024-09-03,37.0107
2024-09-04,35.6610
2024-09-05,35.5012
2024-09-06,35.1371
2024-09-09,34.8086
2024-09-10,34.0183
2024-09-11,34.1781
2024-09-12,34.1426
2024-09-13,33.8851
2024-09-16,33.4322
2024-09-17,33.5059
2024-09-18,34.6221
2024-09-19,35.8741
2024-09-20,35.6610
2024-09-23,35.4479
2024-09-24,36.2205
2024-09-25,36.9522
2024-09-26,37.1753
2024-09-27,37.2110
2024-09-30,36.6934
2024-10-01,35.6315
2024-10-02,36.6488
2024-10-03,37.7910
2024-10-04,39.1920
2024-10-07,39.6471
2024-10-08,39.3169
2024-10-09,39.5757
2024-10-10,40.4680
2024-10-11,40.7268
2024-10-14,40.9677
2024-10-15,39.6203
2024-10-16,39.9505
2024-10-17,41.5924
2024-10-18,41.3247
2024-10-21,43.7340
2024-10-22,43.7251
2024-10-23,44.2605
2024-10-24,43.4663
2024-10-25,43.2968
2024-10-28,43.4490
2024-10-29,44.0223
2024-10-30,43.8610
2024-10-31,43.2341
2024-11-01,44.7836
2024-11-04,43.4849
2024-11-05,42.2399
2024-11-06,45.5897
2024-11-07,43.8969
2024-11-08,42.7594
2024-11-11,42.6698
2024-11-12,44.1118
2024-11-13,45.2672
2024-11-14,44.6940
